order_id,user_id,product_id,timestamp,quantity,total_amount,payment
O000001,U00125,P0446,2025-08-15 02:09:02.206287,1,170.51,花呗
O000002,U00028,P0323,2025-03-27 07:46:06.899342,1,105.01,支付宝
O000003,U00093,P0433,2025-06-17 06:57:07.500106,1,333.15,支付宝
O000004,U00540,P0142,2025-07-27 23:50:59.746684,1,11.42,银行卡
O000005,U01220,P0499,2025-06-29 13:28:14.480629,1,28.55,花呗
O000006,U01120,P0050,2025-11-25 00:47:17.409823,1,15.81,银行卡
O000007,U00619,P0167,2025-05-19 20:16:09.455789,3,185.49,支付宝
O000008,U01263,P0475,2025-04-26 20:27:50.064839,2,65.22,支付宝
O000009,U01006,P0428,2025-11-04 22:29:33.254910,2,65.06,微信
O000010,U00650,P0012,2025-04-08 00:34:54.668239,1,46.23,微信
O000011,U00598,P0445,2025-11-04 00:17:44.577079,1,52.31,支付宝
O000012,U01268,P0100,2025-01-03 22:46:11.374432,1,34.73,微信
O000013,U00307,P0274,2025-06-09 06:51:14.001959,1,80.3,花呗
O000014,U00297,P0242,2025-05-17 19:43:20.024742,3,351.33,支付宝
O000015,U00917,P0311,2025-03-01 18:35:57.649467,2,21.12,微信
O000016,U01855,P0027,2025-04-04 16:08:22.591766,2,56.7,支付宝
O000017,U00308,P0098,2025-05-30 17:31:14.988824,1,156.08,微信
O000018,U01153,P0087,2025-11-09 19:22:15.324386,2,65.26,支付宝
O000019,U00392,P0405,2025-05-07 07:38:12.585281,1,258.81,支付宝
O000020,U01846,P0024,2025-06-06 04:09:47.791225,2,78.24,花呗
O000021,U01505,P0085,2025-06-15 22:35:25.052903,2,171.42,银行卡
O000022,U00505,P0258,2025-10-12 04:21:08.677772,1,149.92,银行卡
O000023,U00311,P0317,2025-04-25 13:07:22.352664,1,40.61,花呗
O000024,U00659,P0246,2025-11-17 00:33:33.990186,3,131.61,支付宝
O000025,U00640,P0143,2025-05-30 13:37:17.652030,1,17.55,支付宝
O000026,U01493,P0346,2025-02-09 23:44:05.415406,1,52.08,支付宝
O000027,U00563,P0471,2025-06-04 14:02:05.940473,2,11.6,银行卡
O000028,U00302,P0438,2025-05-24 11:08:52.833653,1,49.21,支付宝
